param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d2_p2_q24.csv,3.23,0.73,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p2_q3.csv,2.87,0.62,54.29,25.71,25.71,28.57,28.57
ARIMA_d2_p2_q4.csv,2.67,0.58,51.43,25.71,25.71,25.71,25.71
ARIMA_d2_p2_q8.csv,2.57,0.61,57.14,22.86,22.86,34.29,34.29
ARIMA_d2_p3_q1.csv,2.63,0.58,48.57,22.86,22.86,25.71,25.71
ARIMA_d2_p3_q12.csv,2.64,0.62,57.14,28.57,28.57,31.43,31.43
ARIMA_d2_p3_q16.csv,3.1,0.67,34.29,17.14,17.14,17.14,17.14
ARIMA_d2_p3_q2.csv,2.67,0.59,48.57,22.86,22.86,25.71,25.71
ARIMA_d2_p3_q20.csv,3.19,0.72,45.71,22.86,22.86,22.86,22.86
ARIMA_d2_p3_q24.csv,3.2,0.73,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p3_q3.csv,2.69,0.59,42.86,20.0,20.0,22.86,22.86
ARIMA_d2_p3_q4.csv,2.7,0.59,42.86,17.14,17.14,25.71,25.71
ARIMA_d2_p3_q8.csv,2.72,0.61,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p4_q1.csv,2.71,0.59,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p4_q12.csv,2.73,0.63,51.43,25.71,25.71,28.57,28.57
ARIMA_d2_p4_q16.csv,2.94,0.72,48.57,20.0,20.0,28.57,28.57
ARIMA_d2_p4_q2.csv,2.71,0.59,45.71,20.0,20.0,25.71,25.71
ARIMA_d2_p4_q20.csv,3.0,0.7,54.29,28.57,28.57,25.71,25.71
ARIMA_d2_p4_q24.csv,3.22,0.73,54.29,25.71,25.71,28.57,28.57
ARIMA_d2_p4_q3.csv,2.63,0.59,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p4_q4.csv,2.58,0.57,48.57,22.86,22.86,28.57,28.57
ARIMA_d2_p4_q8.csv,2.67,0.63,57.14,22.86,22.86,34.29,34.29
ARIMA_d2_p8_q1.csv,2.73,0.6,51.43,22.86,22.86,28.57,28.57
ARIMA_d2_p8_q12.csv,2.67,0.64,57.14,28.57,28.57,28.57,28.57
ARIMA_d2_p8_q16.csv,2.88,0.7,54.29,22.86,22.86,31.43,31.43
ARIMA_d2_p8_q2.csv,2.74,0.6,51.43,20.0,20.0,34.29,34.29
ARIMA_d2_p8_q20.csv,3.21,0.76,54.29,28.57,28.57,28.57,28.57
ARIMA_d2_p8_q24.csv,3.52,0.82,42.86,22.86,22.86,20.0,20.0
ARIMA_d2_p8_q3.csv,2.58,0.59,62.86,28.57,28.57,34.29,34.29
ARIMA_d2_p8_q4.csv,2.52,0.58,51.43,20.0,20.0,31.43,31.43
ARIMA_d2_p8_q8.csv,2.87,0.66,62.86,34.29,34.29,31.43,31.43
