param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p1_q20.csv,3.21,0.36,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p1_q24.csv,3.26,0.35,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p1_q3.csv,2.34,0.29,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p1_q4.csv,2.36,0.29,60.0,34.29,34.29,25.71,25.71
ARIMA_d1_p1_q8.csv,2.59,0.3,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p20_q1.csv,2.9,0.33,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p20_q12.csv,2.82,0.31,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p20_q16.csv,2.8,0.31,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p20_q2.csv,2.84,0.33,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p20_q20.csv,2.83,0.32,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p20_q24.csv,3.15,0.35,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p20_q3.csv,2.72,0.31,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q4.csv,2.73,0.3,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p20_q8.csv,2.74,0.31,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q1.csv,2.81,0.32,51.43,28.57,28.57,25.71,25.71
ARIMA_d1_p24_q12.csv,3.07,0.34,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p24_q16.csv,2.91,0.32,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p24_q2.csv,2.75,0.32,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p24_q20.csv,3.0,0.34,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p24_q24.csv,3.43,0.37,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p24_q3.csv,3.06,0.33,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p24_q4.csv,3.06,0.33,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p24_q8.csv,2.78,0.32,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p2_q1.csv,2.34,0.28,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p2_q12.csv,2.78,0.31,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p2_q16.csv,2.81,0.31,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p2_q2.csv,2.5,0.29,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p2_q20.csv,3.29,0.37,40.0,20.0,20.0,20.0,20.0
ARIMA_d1_p2_q24.csv,3.15,0.34,40.0,22.86,22.86,17.14,17.14
ARIMA_d1_p2_q3.csv,2.31,0.29,62.86,34.29,34.29,28.57,28.57
ARIMA_d1_p2_q4.csv,2.45,0.29,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p2_q8.csv,2.82,0.32,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p3_q1.csv,2.35,0.29,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p3_q12.csv,2.76,0.31,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p3_q16.csv,2.81,0.31,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p3_q2.csv,2.41,0.29,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p3_q20.csv,3.27,0.37,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p3_q24.csv,3.27,0.36,42.86,25.71,25.71,17.14,17.14
ARIMA_d1_p3_q3.csv,2.55,0.29,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p3_q4.csv,2.63,0.31,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p3_q8.csv,2.63,0.3,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p4_q1.csv,2.42,0.29,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p4_q12.csv,2.62,0.29,62.86,34.29,34.29,28.57,28.57
ARIMA_d1_p4_q16.csv,2.96,0.33,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p4_q2.csv,2.35,0.29,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p4_q20.csv,3.08,0.34,42.86,25.71,25.71,17.14,17.14
ARIMA_d1_p4_q24.csv,3.33,0.36,40.0,22.86,22.86,17.14,17.14
ARIMA_d1_p4_q3.csv,2.33,0.28,68.57,37.14,37.14,31.43,31.43
ARIMA_d1_p4_q4.csv,2.58,0.3,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p4_q8.csv,2.7,0.31,42.86,14.29,14.29,28.57,28.57
ARIMA_d1_p8_q1.csv,2.47,0.3,54.29,28.57,28.57,28.57,28.57
ARIMA_d1_p8_q12.csv,2.8,0.32,42.86,14.29,14.29,28.57,28.57
ARIMA_d1_p8_q16.csv,2.61,0.3,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p8_q2.csv,2.45,0.29,54.29,28.57,28.57,28.57,28.57
ARIMA_d1_p8_q20.csv,2.93,0.33,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p8_q24.csv,3.44,0.38,37.14,17.14,17.14,20.0,20.0
ARIMA_d1_p8_q3.csv,2.56,0.3,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p8_q4.csv,2.58,0.3,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p8_q8.csv,2.63,0.3,57.14,31.43,31.43,25.71,25.71
