param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p2_q8.csv,7.11,12.2,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p3_q1.csv,5.99,11.73,40.0,17.14,17.14,22.86,22.86
ARIMA_d1_p3_q12.csv,7.13,12.24,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p3_q16.csv,8.17,12.83,48.57,25.71,22.86,25.71,25.71
ARIMA_d1_p3_q2.csv,5.86,11.49,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p3_q20.csv,7.81,12.76,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p3_q24.csv,8.12,13.52,54.29,25.71,22.86,31.43,31.43
ARIMA_d1_p3_q3.csv,6.1,11.75,45.71,17.14,17.14,28.57,28.57
ARIMA_d1_p3_q4.csv,5.92,11.54,51.43,17.14,17.14,34.29,34.29
ARIMA_d1_p3_q8.csv,5.92,12.2,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p4_q1.csv,6.12,11.75,40.0,17.14,17.14,22.86,22.86
ARIMA_d1_p4_q12.csv,7.25,12.63,60.0,20.0,20.0,40.0,40.0
ARIMA_d1_p4_q16.csv,7.35,12.82,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p4_q2.csv,6.06,11.67,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p4_q20.csv,7.5,12.66,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p4_q24.csv,7.68,13.39,51.43,25.71,22.86,28.57,28.57
ARIMA_d1_p4_q3.csv,5.99,11.69,54.29,20.0,20.0,34.29,34.29
ARIMA_d1_p4_q4.csv,6.42,11.72,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p4_q8.csv,6.5,12.67,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p8_q1.csv,6.13,12.14,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p8_q12.csv,7.51,12.98,48.57,25.71,20.0,28.57,28.57
ARIMA_d1_p8_q16.csv,8.29,13.17,54.29,25.71,22.86,31.43,31.43
ARIMA_d1_p8_q2.csv,6.17,12.12,57.14,22.86,22.86,34.29,34.29
ARIMA_d1_p8_q20.csv,7.56,12.87,45.71,31.43,25.71,20.0,20.0
ARIMA_d1_p8_q24.csv,8.07,13.42,45.71,25.71,22.86,22.86,22.86
ARIMA_d1_p8_q3.csv,6.36,12.49,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p8_q4.csv,6.39,12.55,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p8_q8.csv,6.99,13.24,51.43,22.86,22.86,28.57,28.57
