Date,ECON_CENTRALBANK,ECON_CURRENCY_EXCHANGE_RATE,ECON_CURRENCY_RESERVES,ECON_DEBT,ECON_DIESELPRICE,ECON_ELECTRICALDEMAND,ECON_ELECTRICALGENERATION,ECON_ELECTRICALGRID,ECON_ELECTRICALPRICE,ECON_EMERGINGECON,ECON_ENTREPRENEURSHIP,ECON_FOREIGNBANKS,ECON_FOREIGNINVEST,ECON_FREETRADE,ECON_GASOLINEPRICE,ECON_GOLDPRICE,ECON_HEATINGOIL,ECON_HEATINGOILPRICE,ECON_HOUSING_PRICES,ECON_IDENTITYTHEFT,ECON_INFLATION,ECON_INTEREST_RATES,ECON_IPO,ECON_MIDDLECLASS,ECON_MONEYLAUNDERING,ECON_MONOPOLY,ECON_NATGASPRICE,ECON_NEWPOWERPLANT,ECON_OILPRICE,ECON_PRICECONTROL,ECON_QUITRATE,ECON_STOCKMARKET,ECON_SUBSIDIES,ECON_TAXATION,ECON_TRADE_DISPUTE,ECON_UNIONS,ECON_WORKINGCLASS,SLFID_ECONOMIC_DEVELOPMENT,SLFID_ECONOMIC_DEVELOPMENTAID,SLFID_ECONOMIC_POWER,SOC_ECONCOOP,WB_1070_ECONOMIC_GROWTH_POLICY,WB_1096_MACROECONOMIC_SUSTAINABILITY,WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,WB_1141_ECONOMIC_SHOCKS_AND_TRADE,WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,WB_1540_ECONOMICS_OF_EDUCATION,WB_162_TRANSPORT_ECONOMICS,WB_1998_WATER_ECONOMICS,WB_2111_COMPETITION_ECONOMICS,WB_427_WATER_ALLOCATION_AND_WATER_ECONOMICS,WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,WB_440_MACROECONOMIC_MONITORING,WB_471_ECONOMIC_GROWTH,WB_625_HEALTH_ECONOMICS_AND_FINANCE,WB_702_ECONOMIC_SHOCKS_AND_VULNERABILITY,WB_836_POLITICAL_ECONOMY_OF_REFORM,WB_862_GROWTH_POLES_AND_ECONOMIC_ZONES
2018-01-24,0.0,2.2122,0.0,-1.3479,0.0,0.0,0.0,0.0,0.0,0.3177,1.905,0.0,-0.6197,0.0,0.0,2.4847,2.2942,0.0,1.8481,0.0,0.5533,1.052,2.233,0.0,0.0,0.0,0.0,0.0,0.8292,0.0,0.0,1.3644,1.7376,-1.8422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2725,0.0,-0.6617,0.0,0.0,3.9474,-0.5586,0.0,0.0,0.0,1.5521,0.0,0.3896,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,-0.4012,0.0,0.0,1.2436,0.0,0.0,0.0,1.6188,0.0,2.1596,0.0,0.0,-0.3848,0.0,0.0,1.647,0.0,-1.0587,2.1955,-0.1218,0.0,-4.5938,1.217,0.0,0.0,-0.7721,0.0,0.0,1.6359,1.1339,0.9829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0313,0.0,0.0,0.0,-3.608,0.0,0.0,-1.406,4.1485,0.0,0.6641,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.2527,0.0,0.0449,0.0,0.0,0.0,0.0,0.0,-2.2989,1.9551,0.0,1.94,0.0,0.0,3.1419,0.2168,0.0,2.3367,0.0,0.9681,4.3277,3.4008,0.0,-2.6135,-0.8006,0.0,0.0,2.6306,0.0,0.0,0.9039,0.8382,1.9728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5045,0.0,0.491,0.0,0.0,0.7634,1.7751,0.0,0.0,0.0,5.3803,0.0,-0.4612,0.0,0.0,0.0,0.0
2018-01-27,0.0,2.1064,0.0,-1.3647,0.0,0.0,0.0,0.0,0.0,0.0,1.3904,0.0,0.0,0.0,0.0,1.7995,0.0,0.0,-1.3616,0.0,0.0,0.0,-1.5259,0.0,0.4598,-1.3135,0.0,0.0,0.5543,0.0,0.0,0.3078,-0.4145,0.9687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367,0.0,-1.154,0.0,0.0,1.4144,-2.4233,0.0,0.0,0.0,0.5222,0.0,0.2528,0.0,0.0,0.0,0.0
2018-01-28,0.0,-1.4776,0.0,-3.3125,0.0,0.0,0.0,0.0,0.0,0.0,2.1345,0.0,-0.1483,0.0,0.0,1.6539,0.0,0.0,2.8652,0.0,0.1333,5.6786,-1.135,0.0,0.0,-0.1484,0.0,0.0,0.8601,0.0,0.0,0.5816,1.3636,0.4151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4417,0.0,-2.4096,0.0,0.0,0.0,0.2225,0.0,0.0,-0.6173,8.2919,0.0,-2.0305,0.0,0.0,0.0,0.0
2018-01-29,-0.845,1.2717,0.0,-1.0198,0.0,0.0,0.0,0.0,0.0,1.1763,1.4536,0.0,0.1581,0.0,0.0,-0.1299,0.0,0.0,1.1746,0.0,0.686,0.3451,1.2884,0.0,0.0,0.0,0.0,0.0,1.4204,0.0,0.0,1.3752,1.6044,0.5993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8264,0.0,-0.4849,0.0,0.0,-4.2826,-3.5508,0.0,0.0,0.0,0.0,0.0,0.1455,0.0,0.0,0.0,0.0
2018-01-30,-1.4843,0.0,0.0,-1.4085,0.0,0.0,1.3793,0.0,0.0,2.0279,1.8419,0.0,1.086,0.0,0.0,0.1979,0.0,0.0,1.2745,0.0,-1.6093,-0.5504,0.4312,0.0,-4.9608,0.0,0.0,0.0,0.0748,0.0,0.0,0.398,1.2091,-1.4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0788,0.0,-0.8889,0.0,0.0,0.6958,-1.5283,0.0,0.0,1.962,0.0,0.0,1.9712,0.0,0.0,0.0,0.0
2018-01-31,0.0,1.6359,0.0,-0.5028,0.0,0.0,0.0,0.0,0.0,0.0,1.4237,0.0,0.346,0.0,0.3976,0.6343,1.9393,0.0,1.8518,0.0,-0.4257,1.5355,-1.2755,0.0,-0.2315,1.165,0.0,0.0,-0.3796,0.0,0.0,0.4179,0.8178,0.6589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0407,0.0,-0.0258,0.0,0.0,1.2018,-2.02,0.0,0.0,0.3374,1.295,0.0,2.5748,0.0,0.0,0.0,0.0
2018-02-01,-2.6829,1.5674,0.0,-0.5069,0.0,0.0,0.0,0.0,0.0,3.9556,1.7107,0.0,0.2955,0.0,1.194,2.6889,1.7017,0.0,1.489,0.0,0.8971,2.4018,1.8009,0.0,-6.2236,-0.4641,0.0,0.0,1.059,0.0,0.0,1.4766,2.021,0.7331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2121,0.0,0.1258,0.0,1.5368,2.2409,0.2039,0.0,0.0,0.4561,1.4382,0.0,1.8266,0.0,0.0,0.0,0.0
2018-02-02,0.0,-0.2379,0.0,-0.206,0.0,0.0,0.0,0.0,0.0,3.4488,2.3878,0.0,1.3873,0.0,0.0,2.4833,1.9469,0.0,2.5461,0.0,0.2708,1.501,1.0095,0.0,-1.9885,-6.5517,0.0,0.0,0.1348,0.0,0.0,1.6082,1.0344,-1.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7212,0.0,0.0489,0.0,0.0,0.0,0.182,0.0,0.0,-0.2095,-0.1287,0.0,1.576,0.0,0.0,0.0,0.0
2018-02-03,0.0,-1.1211,0.0,-0.9295,0.0,0.0,0.7732,0.0,0.0,0.0,1.1924,0.0,0.7215,0.0,0.0,0.0,0.0,0.0,0.9728,0.0,-0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7961,0.0,0.0,0.5468,-0.349,-0.8147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2397,0.0,-0.6143,0.0,-5.5817,0.2229,0.0229,0.0,0.0,-3.7392,0.0,0.0,1.1282,0.0,0.0,0.0,0.0
2018-02-04,0.0,2.3058,0.0,-1.6982,0.0,0.0,0.0,0.0,0.0,0.0,1.5323,0.0,2.439,4.1262,0.0,0.0,0.0,0.0,1.2049,0.0,1.7838,3.2464,0.4271,0.0,0.0,-1.6175,0.0,0.0,1.3524,0.0,0.0,0.3052,-0.0422,-2.5465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1181,0.0,0.0,0.0,-2.2388,0.0,0.0,0.8511,0.0,0.0,-0.3676,0.0,0.0,0.0,0.0
