Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2018-06-27,9.1,9.15,9.0,9.0,24.14,2.63,0.34,3,25452400,4726500,9955500,10770400,9.33,9.2,8.71,-0.06,36.55
2018-07-06,9.1,9.1,8.95,9.0,24.14,2.63,0.34,4,20915900,7948400,9865600,3101900,9.18,9.15,8.73,-0.11,42.71
2018-07-17,9.05,9.1,9.05,9.1,24.41,2.65,0.34,4,6568900,1589000,2493900,2486000,9.14,9.14,8.75,-0.06,47.24
2018-07-26,9.45,9.5,9.4,9.45,25.35,2.76,0.34,4,24816500,6076700,13504200,5235600,9.24,9.19,8.79,0.05,61.8
2018-08-08,9.4,9.45,9.3,9.35,25.08,2.73,0.34,4,19677000,5122200,10238500,4316300,9.26,9.21,8.82,0.03,54.75
2018-08-20,9.3,9.3,9.15,9.2,24.78,2.68,0.33,4,24149100,9802000,10643900,3703200,9.24,9.22,8.85,0.0,47.88
2018-08-29,9.4,9.4,9.25,9.3,25.05,2.71,0.33,4,15781000,3823500,5762300,6195200,9.25,9.22,8.88,0.01,53.23
2018-09-07,9.15,9.25,9.1,9.2,24.78,2.68,0.33,4,17851300,10574800,4439600,2836900,9.22,9.21,8.9,-0.02,48.83
2018-09-18,9.3,9.45,9.25,9.35,25.18,2.72,0.33,4,42707400,21281300,16756000,4670100,9.22,9.21,8.92,0.0,57.26
2018-09-27,9.35,9.35,9.25,9.35,25.18,2.72,0.33,4,19849000,9866600,4822600,5159800,9.27,9.24,8.95,0.03,56.35
2018-10-08,9.15,9.2,9.05,9.05,24.38,2.64,0.33,3,24640400,3493900,16029300,5117200,9.24,9.23,8.96,-0.02,35.5
2018-10-18,9.05,9.05,8.95,9.0,24.24,2.62,0.33,3,8755100,3025500,3295800,2433800,9.15,9.18,8.97,-0.07,36.3
2018-10-30,8.95,9.05,8.9,9.05,24.38,2.64,0.33,3,8139500,2969100,2757000,2413400,9.07,9.13,8.97,-0.06,47.29
2018-11-08,9.35,9.5,9.3,9.4,25.32,2.74,0.33,3,43772500,27143600,13399800,3229100,9.14,9.15,8.99,0.03,70.62
2018-11-19,9.35,9.4,9.3,9.4,25.22,2.82,0.34,3,13474400,6214000,5366300,1894100,9.23,9.2,9.01,0.07,62.58
2018-11-28,9.4,9.45,9.35,9.45,25.35,2.84,0.34,3,19235400,8426700,7157000,3651700,9.29,9.24,9.04,0.07,61.14
2018-12-11,9.55,9.6,9.4,9.5,25.49,2.85,0.34,3,24623700,10940200,10290900,3392600,9.38,9.31,9.07,0.08,60.29
2018-12-20,9.35,9.4,9.25,9.4,25.22,2.82,0.34,3,11580600,4164800,3597600,3818200,9.36,9.31,9.08,0.01,52.62
2019-01-02,9.55,9.65,9.5,9.5,25.49,2.85,0.34,3,22941800,10318900,6947400,5675500,9.42,9.36,9.11,0.04,54.15
2019-01-11,9.55,9.65,9.5,9.65,25.89,2.9,0.34,3,12660600,5760100,2611200,4289300,9.47,9.4,9.14,0.05,62.43
2019-01-22,9.55,9.6,9.5,9.6,25.76,2.88,0.34,3,13161000,6516600,1257700,5386700,9.52,9.44,9.17,0.04,55.69
2019-01-31,10.2,10.2,9.9,10.0,26.83,3.0,0.34,0,46847600,9447500,27648700,9751400,9.72,9.57,9.22,0.15,61.4
2019-02-11,9.9,10.0,9.85,9.95,26.69,2.99,0.34,3,20319600,12304300,4309100,3706200,9.82,9.67,9.27,0.11,56.3
2019-02-21,10.2,10.3,10.1,10.3,25.87,3.04,0.36,3,19795900,9968700,6419800,3407400,9.96,9.78,9.33,0.14,64.32
2019-03-04,10.3,10.5,10.3,10.3,25.87,3.04,0.36,3,21004900,10094600,7964500,2945800,10.16,9.94,9.41,0.16,56.95
2019-03-13,10.7,11.0,10.7,10.8,27.13,3.18,0.36,3,26576200,15833100,8413800,2329300,10.35,10.1,9.48,0.2,69.56
2019-03-22,10.6,11.0,10.6,10.9,27.38,3.21,0.36,3,41599300,24034600,10123300,7441400,10.53,10.26,9.57,0.18,63.43
2019-04-02,11.3,11.4,11.1,11.3,28.39,3.33,0.36,3,33287600,19270500,10179600,3837500,10.76,10.45,9.67,0.22,69.33
2019-04-12,11.3,11.7,11.2,11.6,29.26,3.43,0.36,3,80086500,53374200,16865800,9846500,10.91,10.61,9.77,0.2,69.28
2019-04-25,11.6,11.6,11.4,11.5,29.01,3.4,0.36,0,26759800,10264000,10211800,6284000,11.2,10.85,9.89,0.24,61.29
2019-05-08,11.6,11.8,11.5,11.8,29.76,3.49,0.36,3,40019000,17351600,18580000,4087400,11.42,11.06,10.01,0.23,61.65
2019-05-17,11.4,11.5,11.3,11.4,28.76,3.37,0.36,3,22101500,4080000,13002600,5018900,11.46,11.17,10.11,0.08,48.67
2019-05-29,11.2,11.4,11.2,11.3,46.78,3.47,0.36,2,35535800,17190700,13163800,5181300,11.41,11.21,10.2,-0.01,45.79
2019-06-10,11.6,11.7,11.5,11.6,48.03,3.56,0.22,2,60176400,27569100,23163900,9443400,11.48,11.3,10.29,0.05,54.35
2019-06-19,11.8,12.2,11.7,12.0,49.68,3.68,0.22,2,215001300,117568500,62137000,35295800,11.6,11.41,10.39,0.1,63.7
2019-06-28,12.1,12.2,12.0,12.0,49.68,3.68,0.22,2,30150400,10369300,9074000,10707100,11.79,11.57,10.5,0.15,57.01
2019-07-09,12.8,12.8,12.6,12.7,55.51,4.12,0.22,2,26750000,13617700,8101900,5030400,12.11,11.8,10.64,0.27,71.55
2019-07-19,12.7,13.0,12.7,12.9,56.38,4.18,0.22,2,41863900,25455700,9756600,6651600,12.35,12.01,10.78,0.25,71.15
2019-07-31,12.1,12.5,12.1,12.4,54.2,4.02,0.22,0,29857800,18774900,7876200,3206700,12.43,12.14,10.9,0.11,49.89
2019-08-09,12.8,12.8,12.6,12.7,55.51,4.12,0.22,2,44192600,9059300,25292700,9840600,12.46,12.23,11.0,0.08,57.42
2019-08-21,12.8,12.9,12.6,12.7,47.18,3.16,0.26,3,45421300,15775100,22484800,7161400,12.53,12.32,11.11,0.08,54.78
2019-08-30,13.5,13.6,13.3,13.5,50.15,3.36,0.26,3,27694000,13170700,6355400,8167900,12.91,12.59,11.27,0.28,68.74
2019-09-10,13.9,14.0,13.5,13.7,50.89,3.41,0.26,3,52465700,17840700,28153700,6471300,13.29,12.88,11.44,0.34,62.03
2019-09-19,13.4,13.5,13.2,13.3,49.41,3.31,0.26,3,29553500,8782600,17560500,3210400,13.32,13.0,11.57,0.13,50.24
2019-09-30,13.5,13.6,13.4,13.4,49.78,3.33,0.26,3,47832500,16236100,19309600,12286800,13.36,13.1,11.69,0.08,51.63
2019-10-09,13.3,13.4,13.2,13.3,50.19,3.36,0.26,3,16055800,5965500,4684800,5405500,13.32,13.14,11.8,0.0,49.65
2019-10-21,13.5,13.6,13.3,13.4,50.57,3.39,0.26,3,25520600,13208900,8288400,4023300,13.4,13.23,11.91,0.06,50.19
2019-10-31,13.4,13.5,13.3,13.4,50.57,3.39,0.26,3,22140400,9512700,7103900,5523800,13.43,13.29,12.02,0.03,49.2
2019-11-11,13.6,13.7,13.5,13.6,51.32,3.44,0.26,3,25890800,8407800,12715300,4767700,13.5,13.36,12.12,0.06,53.37
2019-11-20,13.9,14.3,13.8,14.1,45.1,3.56,0.3,4,80052300,46970800,27244500,5837000,13.7,13.51,12.25,0.16,64.05
2019-11-29,13.7,13.8,13.5,13.7,43.83,3.46,0.3,4,36208800,14310300,15741100,6157400,13.78,13.6,12.36,0.09,47.43
2019-12-12,14.2,14.4,14.1,14.2,46.85,3.7,0.3,4,56609400,23537200,24464800,8607400,13.88,13.7,12.47,0.11,60.82
2019-12-23,13.2,13.2,13.0,13.0,42.89,3.39,0.3,4,47461500,11051300,24928600,11481600,13.58,13.58,12.52,-0.16,37.53
2020-01-03,13.3,13.4,13.2,13.3,43.88,3.46,0.3,4,30429500,12610400,11008500,6810600,13.44,13.49,12.57,-0.14,45.86
2020-01-14,13.5,13.5,13.3,13.4,44.21,3.49,0.3,4,15586700,5200400,5541800,4844500,13.43,13.47,12.62,-0.04,49.04
2020-01-23,13.4,13.7,13.4,13.6,44.87,3.54,0.3,4,26312400,12345900,10057300,3909200,13.48,13.5,12.69,0.02,52.92
2020-02-03,12.4,12.7,12.4,12.5,41.24,3.26,0.3,4,24544600,7847800,8298200,8398600,13.2,13.34,12.7,-0.21,33.81
2020-02-13,12.9,13.0,12.8,12.8,42.23,3.33,0.3,4,29018800,7396500,10560500,11061800,13.07,13.23,12.71,-0.15,43.61
2020-02-24,12.5,12.6,12.2,12.2,30.52,2.82,0.4,6,52220500,8181900,33547600,10491000,12.91,13.1,12.71,-0.17,37.12
2020-03-04,11.3,11.8,11.2,11.5,28.77,2.66,0.4,6,50224600,24298200,20432500,5493900,12.26,12.69,12.63,-0.49,38.1
